Ticker,std,r,VaR,ES
EA,0.02,0.001,-0.02,-20.558
HOLX,0.017,0.001,-0.017,-20.558
CF,0.025,0.001,-0.025,-20.59
XEL,0.013,0.001,-0.013,-20.874
TMUS,0.018,0.001,-0.018,-21.025
SEE,0.019,0.001,-0.019,-21.062
GOOG,0.016,0.001,-0.016,-21.219
JD,0.027,0.001,-0.027,-21.245
CARR,0.029,0.003,-0.029,-21.277
GOOGL,0.016,0.001,-0.016,-21.32
TSN,0.018,0.001,-0.018,-21.628
LKQ,0.021,0.001,-0.021,-21.697
AFL,0.016,0.001,-0.016,-21.791
FE,0.016,0.0,-0.016,-21.798
TJX,0.017,0.001,-0.017,-21.809
IR,0.023,0.001,-0.023,-22.078
BR,0.014,0.001,-0.014,-22.171
GM,0.021,0.001,-0.021,-22.177
FISV,0.015,0.001,-0.015,-22.423
EVRG,0.014,0.001,-0.014,-22.685
CTLT,0.022,0.001,-0.022,-22.692
MPWR,0.023,0.002,-0.023,-22.775
CBRE,0.02,0.001,-0.02,-22.94
GPN,0.019,0.001,-0.019,-23.088
PEG,0.013,0.001,-0.013,-23.165
WFC,0.018,0.0,-0.018,-23.222
TEAM,0.029,0.002,-0.029,-23.23
KHC,0.018,-0.0,-0.018,-23.273
BK,0.017,0.001,-0.017,-23.316
INCY,0.027,0.001,-0.027,-23.526
TFC,0.019,0.001,-0.019,-23.6
HIG,0.019,0.001,-0.019,-23.612
XYL,0.017,0.001,-0.017,-23.699
FANG,0.033,0.001,-0.033,-23.932
MPC,0.026,0.001,-0.026,-23.938
PCAR,0.016,0.001,-0.016,-23.976
CTVA,0.025,0.001,-0.025,-24.183
JCI,0.016,0.001,-0.016,-24.262
RIVN,0.072,-0.006,-0.072,-24.287
FOX,0.023,0.0,-0.023,-24.441
FOXA,0.024,0.001,-0.024,-24.715
VLO,0.025,0.001,-0.025,-24.856
RJF,0.019,0.001,-0.019,-24.897
MDLZ,0.014,0.001,-0.014,-24.91
PTC,0.02,0.001,-0.02,-25.152
WRK,0.024,0.0,-0.024,-25.232
AEE,0.014,0.001,-0.014,-25.298
O,0.017,0.0,-0.017,-25.3
GRMN,0.017,0.001,-0.017,-25.474
EPAM,0.025,0.001,-0.025,-25.489
AIG,0.02,0.0,-0.02,-25.637
SYY,0.018,0.001,-0.018,-25.657
IP,0.018,0.0,-0.018,-25.792
PFG,0.02,0.001,-0.02,-25.951
OGN,0.025,0.001,-0.025,-25.953
LNC,0.027,0.001,-0.027,-25.984
ADM,0.015,0.001,-0.015,-25.994
ALK,0.025,0.001,-0.025,-26.061
TXT,0.021,0.001,-0.021,-26.067
MET,0.019,0.001,-0.019,-26.156
